Generation,Individual_Index_In_Pop,Fitness,PPG,Slot_0_Player_ID,Slot_1_Player_ID,Slot_2_Player_ID,Slot_3_Player_ID,Slot_4_Player_ID,Slot_5_Player_ID,Slot_6_Player_ID
3,6,-9905.131176470588,94.86882352941177,92,163,31,27,1,82,6
3,7,103.7870588235294,103.7870588235294,127,56,4,3,1,177,6
3,8,105.64176470588235,105.64176470588235,127,56,4,3,1,82,6
3,9,88.44117647058823,88.44117647058823,92,43,178,153,1,82,6
3,10,95.15176470588236,95.15176470588236,36,165,18,179,1,82,6
3,11,79.53764705882352,79.53764705882352,118,137,125,1,49,82,64
3,12,89.19647058823529,89.19647058823529,36,165,178,153,1,82,6
3,13,98.73,98.73,106,90,68,27,1,82,6
3,14,82.53764705882352,82.53764705882352,47,10,171,58,114,192,14
3,15,87.14117647058823,87.14117647058823,127,56,99,3,88,46,75
3,16,-9916.87411764706,83.12588235294118,36,137,4,3,86,139,171
3,17,-9914.655882352941,85.34411764705882,47,173,2,8,19,170,78
3,18,87.94058823529411,87.94058823529411,108,56,4,3,86,142,117
3,19,-9898.018235294117,101.98176470588236,36,165,68,27,1,82,6
3,20,88.01823529411764,88.01823529411764,91,56,178,153,1,82,6
3,21,97.87882352941176,97.87882352941176,132,99,4,5,11,192,14
3,22,82.93411764705883,82.93411764705883,36,6,171,58,17,192,114
3,23,-9908.43294117647,91.56705882352941,36,137,99,3,27,192,14
3,24,76.58529411764705,76.58529411764705,106,6,171,58,88,46,148
3,25,-9909.511764705883,90.48823529411764,92,100,2,8,86,142,64
3,26,-9913.248823529411,86.75117647058825,127,56,4,3,55,192,114
3,27,79.91529411764706,79.91529411764706,127,56,149,3,86,142,64
3,28,91.17235294117647,91.17235294117647,47,10,54,204,7,181,25
3,29,-9902.120588235293,97.87941176470589,36,137,99,27,1,82,6
3,30,-9915.56705882353,84.43294117647058,91,141,68,3,88,46,75
3,31,94.83,94.83,127,6,4,3,86,142,64
3,32,88.64882352941176,88.64882352941176,47,10,54,204,7,142,64
3,33,-9902.158823529411,97.84117647058824,132,99,4,5,11,123,64
3,34,83.2694117647059,83.2694117647059,92,163,31,1,49,192,114
3,35,87.09235294117647,87.09235294117647,98,163,31,1,49,82,64
